
Pinging 8.8.4.4
13:07:15 47.6
13:07:20 32.9
13:07:25 36.5
13:07:30 40.8
13:07:35 36.0
13:07:40 41.7
13:07:45 36.5
13:07:50 41.5
13:07:55 35.4
13:08:00 40.6
13:08:05 34.7
13:08:10 38.4
13:08:15 42.4
13:08:20 36.4
13:08:25 40.0
13:08:30 34.7
13:08:35 39.3
13:08:40 43.5
13:08:45 38.1
13:08:50 32.6
13:08:55 47.4
13:09:00 49.3
13:09:05 35.4
13:09:10 39.3
13:09:15 33.3
13:09:20 37.7
13:09:25 41.3
13:09:30 35.4
13:09:35 49.3
13:09:40 34.8
13:09:45 37.0
13:09:50 49.9
13:09:55 36.5
13:10:00 40.3
13:10:05 34.6
13:10:10 38.2
13:10:15 42.2
13:10:20 37.6
13:10:25 41.7
13:10:30 35.4
13:10:35 37.9
13:10:40 44.0
13:10:45 64.6
13:10:50 42.0
13:10:55 36.8
13:11:00 40.3
13:11:05 46.0
13:11:10 38.9
13:11:15 44.2
13:11:20 40.1
13:11:25 30.9
13:11:30 38.0
13:11:35 54.5
13:11:40 40.5
13:11:45 35.5
13:11:50 40.1
13:11:55 35.2
13:12:00 49.7
13:12:05 43.5
13:12:10 37.7
13:12:15 41.3
13:12:20 37.4
13:12:25 30.6
13:12:30 35.4
13:12:35 38.4
13:12:40 32.4
13:12:45 38.2
13:12:50 31.5
13:12:55 38.5
13:13:00 42.7
13:13:05 36.1
13:13:10 40.7
13:13:15 44.4
13:13:20 38.3
13:13:25 42.6
13:13:30 37.4
13:13:35 41.5
13:13:40 35.3
13:13:45 132
13:13:50 36.9
13:13:55 31.4
13:14:00 35.5
13:14:05 29.9
13:14:10 51.7
13:14:15 37.7
13:14:20 41.3
13:14:25 35.5
13:14:30 39.3
13:14:35 43.6
13:14:40 37.2
13:14:45 41.3
13:14:50 35.6
13:14:55 39.6
13:15:00 43.6
13:15:05 38.4
13:15:10 33.5
13:15:15 46.3
13:15:20 44.2
13:15:25 38.3
13:15:30 33.7
13:15:35 38.4
13:15:40 52.0
13:15:45 38.6
13:15:50 32.4
13:15:55 36.4
13:16:00 31.4
13:16:05 44.4
13:16:10 38.4
13:16:15 32.2
13:16:20 37.3
13:16:25 40.6
13:16:30 34.4
13:16:35 48.4
13:16:40 43.1
13:16:45 38.9
13:16:50 54.4
13:16:55 36.3
13:17:00 31.5
13:17:05 35.5
13:17:10 30.3
13:17:15 43.4
13:17:20 37.2
13:17:25 31.4
13:17:30 36.3
13:17:35 40.6
13:17:40 35.4
13:17:45 29.3
13:17:50 43.7
13:17:55 38.5
13:18:00 41.3
13:18:05 36.5
13:18:10 41.3
13:18:15 36.2
13:18:20 30.6
13:18:25 34.6
13:18:30 38.5
13:18:35 108
13:18:40 37.3
13:18:45 30.2
13:18:50 36.6
13:18:55 49.4
13:19:00 35.8
13:19:05 30.8
13:19:10 35.4
13:19:15 30.4
13:19:20 35.6
13:19:25 29.5
13:19:30 44.3
13:19:35 30.7
13:19:40 33.5
13:19:45 38.2
13:19:50 79.0
13:19:55 43.5
13:20:00 36.8
13:20:05 41.5
13:20:10 35.8
13:20:15 39.4
13:20:20 44.3
13:20:25 46.1
13:20:30 43.2
13:20:35 37.3
13:20:40 42.6
13:20:45 35.2
13:20:50 47.8
13:20:55 34.3
13:21:00 48.7
13:21:05 43.3
13:21:10 37.9
13:21:15 33.2
13:21:20 37.8
13:21:26 48.2
13:21:31 37.7
13:21:36 40.8
13:21:41 44.4
13:21:46 38.4
13:21:51 42.1
13:21:56 37.2
13:22:01 41.2
13:22:06 39.7
13:22:11 53.6
13:22:16 37.5
13:22:21 41.4
13:22:26 43.0
13:22:31 39.7
13:22:36 33.4
13:22:41 37.9
13:22:46 53.1
13:22:51 39.9
13:22:56 33.0
13:23:01 37.6
13:23:06 32.1
13:23:11 36.9
13:23:16 42.6
13:23:21 36.6
13:23:26 101
13:23:31 35.9
13:23:36 43.9
13:23:41 38.8
13:23:46 42.3
13:23:51 36.4
13:23:56 38.6
13:24:01 39.4
13:24:06 43.4
13:24:11 37.3
13:24:16 41.6
13:24:21 35.2
13:24:26 39.4
13:24:31 34.7
13:24:36 37.6
13:24:41 41.4
13:24:46 25.3
13:24:51 30.5
13:24:56 43.2
13:25:01 40.3
13:25:06 35.3
13:25:11 40.0
13:25:16 25.0
13:25:21 42.0
13:25:26 46.2
13:25:31 50.4
13:25:36 35.3
13:25:41 30.4
13:25:46 44.4
13:25:51 39.2
13:25:56 33.1
13:26:01 40.7
13:26:06 43.6
13:26:11 49.8
13:26:16 37.8
13:26:21 32.8
13:26:26 37.8
13:26:31 39.7
13:26:36 35.3
13:26:41 40.9
13:26:46 35.1
13:26:51 29.5
13:26:56 43.7
13:27:01 38.7
13:27:06 43.4
13:27:11 54.6
13:27:16 40.6
13:27:21 34.8
13:27:26 200
13:27:31 41.9
13:27:36 38.8
13:27:41 33.3
13:27:46 37.1
13:27:51 42.6
13:27:56 37.2
13:28:01 43.1
13:28:06 38.4
13:28:11 43.4
13:28:16 105
13:28:21 42.8
13:28:26 36.7
13:28:31 40.3
13:28:36 34.5
13:28:41 39.1
13:28:46 33.4
13:28:51 45.6
13:28:56 42.2
13:29:01 36.7
13:29:06 30.5
13:29:11 36.4
13:29:16 37.2
13:29:21 43.8
13:29:26 38.8
13:29:31 41.4
13:29:36 36.3
13:29:41 50.1
13:29:46 35.7
13:29:51 29.4
13:29:56 43.5
13:30:01 38.0
13:30:06 42.5
13:30:11 36.6
13:30:16 64.8
13:30:21 36.7
13:30:26 29.4
13:30:31 43.5
13:30:36 46.9
13:30:41 35.9
13:30:46 39.8
13:30:51 35.9
13:30:56 58.2
13:31:01 27.0
13:31:06 42.4
13:31:11 37.7
13:31:16 43.4
13:31:21 41.8
13:31:26 37.3
13:31:31 42.6
13:31:36 36.4
13:31:41 40.6
13:31:46 43.3
13:31:51 39.3
13:31:56 22.5
13:32:01 36.5
13:32:06 40.3
13:32:11 34.3
13:32:16 44.6
13:32:21 43.4
13:32:26 42.2
13:32:31 35.5
13:32:36 39.4
13:32:41 43.3
13:32:46 37.3
13:32:51 58.2
13:32:56 36.5
13:33:01 48.6
13:33:06 36.2
13:33:11 43.5
13:33:16 37.4
13:33:21 41.5
13:33:26 43.5
13:33:31 40.6
13:33:36 35.3
13:33:41 34.2
13:33:46 39.2
13:33:51 43.7
13:33:56 37.5
13:34:01 31.1
13:34:06 35.5
13:34:11 39.8
13:34:16 44.4
13:34:21 39.5
13:34:26 42.5
13:34:31 37.4
13:34:36 40.5
13:34:41 34.5
13:34:46 38.4
13:34:51 33.3
13:34:56 37.6
13:35:01 41.5
13:35:06 44.5
13:35:11 31.5
13:35:16 35.5
13:35:21 39.5
13:35:26 43.6
13:35:31 38.3
13:35:36 33.2
13:35:41 38.6
13:35:46 37.6
13:35:51 39.7
13:35:56 43.3
13:36:01 38.5
13:36:06 42.5
13:36:11 81.5
13:36:16 32.2
13:36:21 44.4
13:36:26 41.5
13:36:31 35.3
13:36:36 40.5
13:36:41 43.5
13:36:46 39.3
13:36:51 34.4
13:36:57 46.6
13:37:01 24.2
13:37:07 38.6
13:37:12 42.1
13:37:17 48.3
13:37:22 94.8
13:37:27 51.4
13:37:32 39.5
13:37:37 46.5
13:37:42 34.5
13:37:47 201
13:37:52 932
13:37:57 286
13:38:02 24.3
13:38:07 32.7
13:38:12 192
13:38:17 430
13:38:22 450
13:38:27 67.2
13:38:32 349
13:38:37 88.7
13:38:42 443
13:38:47 44.7
13:38:52 62.0
13:38:57 87.0
13:39:02 65.6
13:39:07 41.8
13:39:12 35.5
13:39:17 40.8
13:39:22 40.5
13:39:27 43.9
13:39:32 42.6
13:39:37 33.7
13:39:42 37.8
13:39:47 32.8
13:39:52 176
13:39:57 177
13:40:02 36.8
13:40:07 39.7
13:40:12 35.2
13:40:17 29.7
13:40:22 43.6
13:40:27 38.0
13:40:32 33.3
13:40:37 36.3
13:40:42 46.2
13:40:47 34.7
13:40:52 38.4
13:40:57 40.7
13:41:02 129
13:41:07 33.9
13:41:12 40.9
13:41:17 35.9
13:41:22 31.8
13:41:27 36.1
13:41:32 33.1
13:41:37 486
13:41:42 40.1
13:41:47 35.3
13:41:52 38.7
13:41:57 32.4
13:42:02 47.5
13:42:07 40.5
13:42:12 34.9
13:42:17 29.3
13:42:22 113
13:42:27 40.3
13:42:32 242
13:42:37 193
13:42:43 846
13:42:47 308
13:42:52 108
13:42:57 38.8
13:43:02 42.9
13:43:07 47.5
13:43:12 50.6
13:43:17 36.6
13:43:22 41.3
13:43:27 36.4
13:43:32 41.5
13:43:37 47.6
13:43:42 50.3
13:43:47 35.7
13:43:52 39.2
13:43:57 34.7
13:44:02 38.2
13:44:07 41.0
13:44:12 37.8
13:44:17 31.6
13:44:22 35.8
13:44:27 29.8
13:44:32 33.0
13:44:37 45.4
13:44:42 31.3
13:44:47 35.7
13:44:52 39.6
13:44:57 43.6
13:45:02 37.3
13:45:07 31.1
13:45:12 36.5
13:45:17 40.0
13:45:22 38.4
13:45:27 41.4
13:45:32 34.5
13:45:37 38.3
13:45:42 43.7
13:45:47 37.3
13:45:52 33.9
13:45:57 43.8
13:46:02 39.6
13:46:07 52.5
13:46:12 43.2
13:46:17 46.4
13:46:22 30.8
13:46:27 34.4
13:46:32 38.4
13:46:37 43.5
13:46:42 39.9
13:46:47 35.4
13:46:52 41.4
13:46:57 36.4
13:47:02 31.3
13:47:07 36.7
13:47:12 50.4
13:47:17 36.5
13:47:22 48.9
13:47:27 36.8
13:47:32 41.0
13:47:37 35.7
13:47:42 39.6
13:47:47 33.3
13:47:52 37.6
13:47:57 50.7
13:48:02 36.3
13:48:07 30.4
13:48:12 35.3
13:48:17 39.8
13:48:22 43.7
13:48:27 37.6
13:48:32 41.7
13:48:37 36.2
13:48:42 40.8
13:48:47 35.7
13:48:52 40.8
13:48:57 35.1
13:49:02 64.6
13:49:07 43.4
13:49:12 37.7
13:49:17 39.2
13:49:22 35.5
13:49:27 40.1
13:49:32 34.9
13:49:37 46.1
13:49:42 35.0
13:49:47 40.1
13:49:52 52.7
13:49:57 38.9
13:50:02 44.9
13:50:07 39.0
13:50:12 42.0
13:50:17 38.5
13:50:22 32.5
13:50:27 44.9
13:50:32 40.9
13:50:37 35.0
13:50:42 40.0
13:50:47 35.1
13:50:52 48.5
13:50:57 39.2
13:51:02 40.6
13:51:07 35.2
13:51:12 30.1
13:51:17 35.1
13:51:22 41.2
13:51:27 35.4
13:51:32 40.4
13:51:37 35.5
13:51:42 39.5
13:51:47 44.1
13:51:52 38.8
13:51:57 32.3
13:52:02 37.1
13:52:07 32.9
13:52:12 36.6
13:52:17 40.6
13:52:22 35.3
13:52:27 42.3
13:52:32 36.5
13:52:37 40.4
13:52:42 34.7
13:52:48 38.4
13:52:53 43.0
13:52:58 38.1
13:53:03 42.7
13:53:08 27.3
13:53:13 42.4
13:53:18 36.4
13:53:23 40.8
13:53:28 34.9
13:53:33 40.5
13:53:38 35.3
13:53:43 30.9
13:53:48 35.1
13:53:53 30.3
13:53:58 36.3
13:54:03 40.4
13:54:08 35.3
13:54:13 39.4
13:54:18 43.1
13:54:23 37.4
13:54:28 43.9
13:54:33 38.3
13:54:38 42.6
13:54:43 36.3
13:54:48 40.5
13:54:53 34.3
13:54:58 38.3
13:55:03 42.6
13:55:08 36.3
13:55:13 41.2
13:55:18 35.7
13:55:23 39.6
13:55:28 43.3
13:55:33 37.6
13:55:38 44.3
13:55:43 38.5
13:55:48 42.3
13:55:53 36.8
13:55:58 30.5
13:56:03 32.1
13:56:08 38.4
13:56:13 42.5
13:56:18 37.3
13:56:23 30.5
13:56:28 34.6
13:56:33 38.7
13:56:38 51.2
13:56:43 39.0
13:56:48 45.1
13:56:53 39.2
13:56:58 43.9
13:57:03 39.1
13:57:08 34.1
13:57:13 38.8
13:57:18 77.1
13:57:23 38.4
13:57:28 42.6
13:57:33 37.3
13:57:38 35.7
13:57:43 30.0
13:57:48 34.8
13:57:53 40.8
13:57:58 37.0
13:58:03 41.9
13:58:08 37.3
13:58:13 42.0
13:58:18 35.9
13:58:23 40.2
13:58:28 35.1
13:58:33 41.8
13:58:38 35.8
13:58:43 40.9
13:58:48 38.8
13:58:53 43.7
13:58:58 41.1
13:59:03 42.1
13:59:08 36.7
13:59:13 40.8
13:59:18 34.4
13:59:23 38.1
13:59:28 42.7
13:59:33 40.0
13:59:38 31.7
13:59:43 35.8
13:59:48 41.1
13:59:53 46.7
13:59:58 40.2
14:00:03 44.5
14:00:08 39.1
14:00:13 44.1
14:00:18 38.5
14:00:23 44.1
14:00:28 36.7
14:00:33 40.0
14:00:38 34.6
14:00:43 47.5
14:00:48 40.6
14:00:53 36.8
14:00:58 40.7
14:01:03 34.2
14:01:08 49.9
14:01:13 37.2
14:01:18 42.0
14:01:23 44.5
14:01:28 40.3
14:01:33 34.7
14:01:38 38.6
14:01:43 50.4
14:01:48 41.5
14:01:53 35.4
14:01:58 29.8
14:02:03 44.1
14:02:08 80.2
14:02:13 35.0
14:02:18 39.8
14:02:23 35.1
14:02:28 40.0
14:02:33 44.5
14:02:38 39.6
14:02:43 44.0
14:02:48 39.9
14:02:53 35.5
14:02:58 40.7
14:03:03 36.1
14:03:08 39.9
14:03:13 37.6
14:03:18 42.2
14:03:23 36.6
14:03:28 40.2
14:03:33 35.3
14:03:38 38.5
14:03:43 34.5
14:03:48 37.0
14:03:53 41.9
14:03:58 37.0
14:04:03 41.7
14:04:08 36.3
14:04:13 30.8
14:04:18 26.8
14:04:23 31.8
14:04:28 36.1
14:04:33 42.6
14:04:38 35.1
14:04:43 39.4
14:04:48 43.4
14:04:53 38.0
14:04:58 42.9
14:05:03 30.8
14:05:08 35.1
14:05:13 31.2
14:05:18 35.4
14:05:23 39.8
14:05:28 43.9
14:05:33 38.7
14:05:38 42.6
14:05:43 36.8
14:05:48 32.3
14:05:53 36.6
14:05:58 31.1
14:06:03 36.3
14:06:08 40.5
14:06:13 34.8
14:06:18 39.3
14:06:23 34.1
14:06:28 38.9
14:06:33 43.7
14:06:38 38.2
14:06:43 44.1
14:06:48 38.8
14:06:53 43.2
14:06:58 37.5
14:07:03 41.9
14:07:08 36.8
14:07:13 41.1
14:07:18 36.0
14:07:23 40.4
14:07:28 34.4
14:07:33 38.8
14:07:38 44.0
14:07:43 39.3
14:07:48 43.7
14:07:53 38.3
14:07:58 32.6
14:08:03 36.6
14:08:08 31.1
14:08:13 36.3
14:08:18 41.2
14:08:23 35.6
14:08:28 29.7
14:08:34 33.8
14:08:39 38.3
14:08:44 40.2
14:08:49 36.7
14:08:54 44.2
14:08:59 38.1
14:09:04 45.5
14:09:09 51.7
14:09:14 35.6
14:09:19 48.3
14:09:24 45.4
14:09:29 39.5
14:09:34 44.4
14:09:39 37.6
14:09:44 33.4
14:09:49 36.5
14:09:54 40.9
14:09:59 43.3
14:10:04 40.5
14:10:09 35.6
14:10:14 42.6
14:10:19 35.4
14:10:24 39.9
14:10:29 34.2
14:10:34 38.7
14:10:39 51.4
14:10:44 37.1
14:10:49 32.5
14:10:54 36.7
14:10:59 41.3
14:11:04 36.4
14:11:09 30.6
14:11:14 35.2
14:11:19 42.1
14:11:24 37.4
14:11:29 40.4
14:11:34 44.3
14:11:39 38.6
14:11:44 43.5
14:11:49 37.2
14:11:54 41.4
14:11:59 35.5
14:12:04 46.5
14:12:09 34.5
14:12:14 29.4
14:12:19 50.7
14:12:24 39.4
14:12:29 34.4
14:12:34 29.6
14:12:39 34.2
14:12:44 39.6
14:12:49 43.6
14:12:54 38.8
14:12:59 50.9
14:13:04 38.6
14:13:09 42.3
14:13:14 37.2
14:13:19 41.5
14:13:24 35.2
14:13:29 39.4
14:13:34 42.2
14:13:39 38.8
14:13:44 32.5
14:13:49 38.5
14:13:54 43.4
14:13:59 35.6
14:14:04 39.2
14:14:09 43.5
14:14:14 37.2
14:14:19 41.4
14:14:24 35.3
14:14:29 39.4
14:14:34 43.4
14:14:39 37.6
14:14:44 49.3
14:14:49 36.5
14:14:54 30.3
14:14:59 42.8
14:15:04 43.0
14:15:09 38.0
14:15:14 37.0
14:15:19 41.4
14:15:24 36.6
14:15:29 40.3
14:15:34 44.4
14:15:39 39.6
14:15:44 33.9
14:15:49 38.4
14:15:54 43.6
14:15:59 37.9
14:16:04 42.8
14:16:09 40.7
14:16:14 37.8
14:16:19 41.6
14:16:24 36.5
14:16:29 41.8
14:16:34 36.5
14:16:39 41.3
14:16:44 36.4
14:16:49 41.8
14:16:54 35.7
14:16:59 29.6
14:17:04 44.0
14:17:09 46.7
14:17:14 50.4
14:17:19 37.6
14:17:24 41.5
14:17:29 35.3
14:17:34 39.4
14:17:39 43.8
14:17:44 40.8
14:17:49 43.4
14:17:54 45.1
14:17:59 42.0
14:18:04 36.9
14:18:09 31.6
14:18:14 26.8
14:18:19 41.7
14:18:24 36.0
14:18:29 40.7
14:18:34 34.4
14:18:39 38.9
14:18:44 44.8
14:18:49 40.8
14:18:54 35.8
14:18:59 41.6
14:19:04 36.6
14:19:09 31.6
14:19:14 37.9
14:19:19 43.3
14:19:24 38.1
14:19:29 42.0
14:19:34 37.0
14:19:39 31.7
14:19:44 36.6
14:19:49 40.1
14:19:54 34.8
14:19:59 39.0
14:20:04 43.8
14:20:09 38.2
14:20:14 42.6
14:20:19 36.7
14:20:24 41.7
14:20:29 36.6
14:20:34 40.8
14:20:39 42.6
14:20:44 38.9
14:20:49 34.0
14:20:54 38.3
14:20:59 32.4
14:21:04 36.8
14:21:09 30.1
14:21:14 36.9
14:21:19 41.9
14:21:24 67.1
14:21:29 41.4
14:21:34 35.9
14:21:39 41.1
14:21:44 35.2
14:21:49 39.6
14:21:54 51.0
14:21:59 27.7
14:22:04 42.3
14:22:09 35.5
14:22:14 39.1
14:22:19 43.6
14:22:24 37.1
14:22:29 42.7
14:22:34 37.0
14:22:39 41.8
14:22:44 36.9
14:22:49 42.0
14:22:54 37.0
14:22:59 49.3
14:23:04 43.8
14:23:09 39.8
14:23:14 34.6
14:23:19 38.9
14:23:24 44.6
14:23:29 38.8
14:23:34 42.9
14:23:39 41.6
14:23:44 33.0
14:23:49 39.6
14:23:54 43.6
14:23:59 37.8
14:24:04 31.3
14:24:10 35.5
14:24:15 39.4
14:24:20 43.5
14:24:25 37.2
14:24:30 34.4
14:24:35 38.4
14:24:40 40.7
14:24:45 45.5
14:24:50 48.6
14:24:55 34.9
14:25:00 40.0
14:25:05 34.9
14:25:10 40.0
14:25:15 43.0
14:25:20 40.1
14:25:25 42.6
14:25:30 49.2
14:25:35 44.4
14:25:40 38.0
14:25:45 43.2
14:25:50 37.7
14:25:55 43.2
14:26:00 37.2
14:26:05 42.2
14:26:10 37.3
14:26:15 42.2
14:26:20 45.1
14:26:25 33.0
14:26:30 36.9
14:26:35 32.1
14:26:40 36.9
14:26:45 42.2
14:26:50 37.1
14:26:55 42.1
14:27:00 39.1
14:27:05 49.3
14:27:10 36.2
14:27:15 41.2
14:27:20 36.2
14:27:25 40.7
14:27:30 34.7
14:27:35 39.2
14:27:40 43.5
14:27:45 37.4
14:27:50 42.4
14:27:55 29.1
14:28:00 43.9
14:28:05 38.4
14:28:10 33.3
14:28:15 37.4
14:28:20 31.5
14:28:25 36.1
14:28:30 29.8
14:28:35 43.6
14:28:40 37.3
14:28:45 41.9
14:28:50 36.9
14:28:55 35.4
14:29:00 41.2
14:29:05 34.6
14:29:10 39.3
14:29:15 44.3
14:29:20 39.4
14:29:25 43.4
14:29:30 38.8
14:29:35 37.3
14:29:40 31.3
14:29:45 35.7
14:29:50 29.3
14:29:55 33.6
14:30:00 37.2
14:30:05 31.0
14:30:10 36.0
14:30:15 42.1
14:30:20 37.0
14:30:25 32.5
14:30:30 40.0
14:30:35 44.2
14:30:40 38.4
14:30:45 42.4
14:30:50 36.5
14:30:55 40.6
14:31:00 43.2
14:31:05 40.1
14:31:10 36.3
14:31:15 39.4
14:31:20 43.6
14:31:25 37.3
14:31:30 42.5
14:31:35 37.4
14:31:40 38.4
14:31:45 38.2
14:31:50 43.5
14:31:55 36.9
14:32:00 41.7
14:32:05 36.0
14:32:10 46.8
14:32:15 42.7
14:32:20 39.4
14:32:25 34.5
14:32:30 39.3
14:32:35 33.6
14:32:40 38.4
14:32:45 44.4
14:32:50 37.8
14:32:55 31.6
14:33:00 36.1
14:33:05 41.7
14:33:10 45.0
14:33:15 44.5
14:33:20 36.1
14:33:25 31.6
14:33:30 34.4
14:33:35 29.3
14:33:40 43.6
14:33:45 38.2
14:33:50 32.4
14:33:55 36.2
14:34:00 40.9
14:34:05 35.4
14:34:10 40.4
14:34:15 35.5
14:34:20 40.5
14:34:25 35.2
14:34:30 39.5
14:34:35 33.5
14:34:40 37.6
14:34:45 42.1
14:34:50 37.7
14:34:55 42.8
14:35:00 38.5
14:35:05 34.5
14:35:10 33.5
14:35:15 24.1
14:35:20 43.5
14:35:25 37.3
14:35:30 32.3
14:35:35 37.4
14:35:40 41.4
14:35:45 34.4
14:35:50 38.5
14:35:55 55.4
14:36:00 67.2
14:36:05 31.4
14:36:10 34.5
14:36:15 47.4
14:36:20 33.6
14:36:25 37.2
14:36:30 42.6
14:36:35 35.5
14:36:40 29.7
14:36:45 37.4
14:36:50 39.3
14:36:55 35.6
14:37:00 42.7
14:37:05 44.4
14:37:10 38.6
14:37:15 32.4
14:37:20 36.3
14:37:25 40.2
14:37:30 35.0
14:37:35 39.5
14:37:40 43.3
14:37:45 37.8
14:37:50 42.3
14:37:55 36.7
14:38:00 30.2
14:38:05 34.3
14:38:10 38.3
14:38:15 36.0
14:38:20 41.5
14:38:25 34.7
14:38:30 39.5
14:38:35 34.4
14:38:40 39.4
14:38:45 34.4
14:38:50 47.6
14:38:55 34.4
14:39:00 38.5
14:39:05 43.5
14:39:10 38.6
14:39:15 40.5
14:39:20 37.6
14:39:25 42.5
14:39:30 36.6
14:39:35 35.4
14:39:40 29.3
14:39:45 38.3
14:39:50 31.4
14:39:56 35.6
14:40:01 37.5
14:40:06 46.1
14:40:11 37.4
14:40:16 41.8
14:40:21 38.5
14:40:26 43.4
14:40:31 46.7
14:40:36 32.6
14:40:41 36.4
14:40:46 41.1
14:40:51 41.5
14:40:56 40.7
14:41:01 34.7
14:41:06 38.4
14:41:11 42.7
14:41:16 36.7
14:41:21 40.6
14:41:26 34.4
14:41:31 39.4
14:41:36 34.6
14:41:41 40.3
14:41:46 33.5
14:41:51 36.3
14:41:56 40.0
14:42:01 24.8
14:42:06 39.2
14:42:11 38.1
14:42:16 41.3
14:42:21 35.5
14:42:26 41.6
14:42:31 45.3
14:42:36 38.4
14:42:41 42.3
14:42:46 37.5
14:42:51 32.6
14:42:56 38.3
14:43:01 42.5
14:43:06 36.5
14:43:11 41.4
14:43:16 35.5
14:43:21 40.0
14:43:26 52.0
14:43:31 40.1
14:43:36 43.6
14:43:41 37.3
14:43:46 40.3
14:43:51 37.5
14:43:56 35.2
14:44:01 40.3
14:44:06 35.5
14:44:11 38.5
14:44:16 42.5
14:44:21 47.6
14:44:26 41.1
14:44:31 36.7
14:44:36 30.3
14:44:41 35.3
14:44:46 40.5
14:44:51 35.2
14:44:56 31.2
14:45:01 36.4
14:45:06 52.7
14:45:11 44.4
14:45:16 33.4
14:45:21 38.4
14:45:26 42.5
14:45:31 36.4
14:45:36 148
14:45:41 35.7
14:45:46 43.2
14:45:51 38.0
14:45:56 33.3
14:46:01 37.5
14:46:06 41.4
14:46:11 35.5
14:46:16 39.6
14:46:21 34.4
14:46:26 29.4
14:46:31 43.5
14:46:36 38.6
14:46:41 44.6
14:46:46 39.6
14:46:51 34.3
14:46:56 47.3
14:47:01 34.3
14:47:06 39.8
14:47:11 45.6
14:47:16 36.4
14:47:21 31.3
14:47:26 36.2
14:47:31 40.5
14:47:36 45.8
14:47:41 38.0
14:47:46 25.1
14:47:51 39.1
14:47:56 33.8
14:48:01 38.4
14:48:06 42.4
14:48:11 37.4
14:48:16 40.6
14:48:21 43.1
